#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   56062.47877753          5.32          0.24       191.806       -54.369       303.966        35.563
   56062.48110951          2.92          0.20        29.790        68.559       106.779       158.613
   56062.48322628          3.29          0.29       274.826        -2.003       222.569        88.001
   56062.48719119          2.92          0.75       246.939        18.649       251.908       108.622
   56062.49114859          4.98          0.21       133.509       -28.728         6.780        61.223
   56062.49116679          3.16          6.13       145.216        80.134       354.841       170.086
   56062.49121203          2.70          0.48       155.403        11.551       344.875       101.492
   56062.50020081          3.00          1.04        40.332        21.116       103.187       111.164
   56062.50312144          5.49          0.21       191.075       -53.232       313.485        36.701
   56062.50711198          2.63          0.65       259.613        52.986       246.488       142.972
   56062.50936568          2.84          0.85        12.998         9.456       133.842        99.518
   56062.51648801          3.20          0.22       344.236        34.088       165.186       124.147
   56062.51739128          3.67          3.19       158.932        32.208       350.788       122.149
   56062.51869314          3.05          2.10       101.114        26.303        49.064       116.290
   56062.52288225          4.31          0.30        20.437       -17.655       131.293        72.405
   56062.52917515          2.70          1.02       181.869        15.348       332.117       105.283
   56062.53002397          2.61          0.57       334.033        43.000       180.289       133.054
   56062.53047779          2.85          0.94        55.172        61.630        99.198       151.665
   56062.53388238          2.60          0.68       280.919        13.505       234.781       103.517
   56062.53885400          3.11          1.17       264.492        73.272       253.189       163.264
   56062.54180817          3.00          0.74       120.336        18.053        38.197       108.019
   56062.54339270          3.15          0.78       134.860        37.150        24.229       127.105
   56062.54890780          2.78          0.93        80.865        38.881        80.201       128.890
   56062.55310325          3.25          1.08       101.556        44.950        61.013       134.936
   56062.55374623          2.79          0.56       107.659         0.673        55.202        90.650
   56062.55525789          5.05          0.20        81.682       -54.952        81.823        35.053
   56062.55569797          2.72          0.82       115.261        17.254        48.287       107.225
   56062.55851309          4.95          0.31       347.362       -32.829       177.212        57.237
   56062.56788294          3.16          2.00        84.775        39.520        83.139       129.524
   56062.57289103          3.01          0.51       342.128        16.948       187.648       107.008
   56062.57360675          3.07          1.13       306.182        29.748       223.873       119.785
   56062.57757900          4.87          0.20       279.524       -70.761       251.743        19.256
   56062.57762662          3.15          0.51       150.683        45.581        20.766       135.525
   56062.57769476          2.84          1.37       246.484        42.742       285.068       132.717
   56062.58219925          4.41          0.20       346.121       -14.401       187.007        75.663
   56062.59175406          2.75          2.13       282.260        -1.541       254.313        88.475
   56062.59263677          3.12          0.20       346.811        26.340       190.094       116.401
   56062.59457674          5.02          0.50        37.530       -27.507       140.096        62.542
   56062.59465175          3.51          0.32        81.295         8.931        96.324        98.937
   56062.59579307          2.98          0.64       324.838         2.965       213.200        93.019
   56062.59726289          4.83          0.20        31.357       -62.583       147.293        27.473
   56062.60134363          2.98          0.23       296.273        28.042       243.795       118.071
   56062.60202527          2.95          1.31       233.751        35.584       306.568       125.547
   56062.60246021          5.13          0.20       358.008       -38.095       182.441        51.973
   56062.60578505          3.78          0.33        27.098         0.950       154.550        91.006
   56062.60630530          3.01          0.31       294.649        51.407       247.251       141.434
   56062.60884626          2.92          0.55       270.636         2.924       272.111        92.928
